County,City,Municipality,Settlement
Zagrebačka županija,Dugo Selo,,Andrilovec
,,,Donje Dvorišće
,,,Dugo Selo
,,,Kopčevec
,,,Kozinščak
,,,Leprovica
,,,Lukarišće
,,,Mala Ostrna
,,,Prozorje
,,,Puhovo
,,,Velika Ostrna 
,Ivanić-Grad,,Caginec
,,,Deanovec
,,,Derežani
,,,Donji Šarampov
,,,Graberje Ivaničko
,,,Greda Breška
,,,Ivanić-Grad
,,,Jalševec Breški
,,,Lepšić
,,,Lijevi Dubrovčak
,,,Opatinec
,,,Posavski Bregi
,,,Prečno
,,,Prerovec
,,,Prkos Ivanićki
,,,Šemovec Breški
,,,Šumećani
,,,Tarno
,,,Topolje
,,,Trebovec
,,,Zaklepica
,,,Zelina Breška 
,Jastrebarsko,,Belčići
,,,Brebrovac
,,,Brezari
,,,Breznik Plešivički
,,,Bukovac Svetojanski
,,,Celine
,,,Crna Mlaka
,,,Cvetković
,,,Čabdin
,,,Čeglje
,,,Črnilovec
,,,Dolanjski Jarak
,,,Domagović
,,,Donja Reka
,,,Donji Desinec
,,,Draga Svetojanska
,,,Dragovanščak
,,,Goljak
,,,Gorica Svetojanska
,,,Gornja Kupčina
,,,Gornja Reka
,,,Gornji Desinec
,,,Grabarak
,,,Gračac Slavetićki
,,,Guci Draganički
,,,Hrastje Plešivičko
,,,Hrašća
,,,Ivančići
,,,Izimje
,,,Jastrebarsko
,,,Jurjevčani
,,,Kupeć Dol
,,,Lanišće
,,,Lokošin Dol
,,,Malunje
,,,Miladini
,,,Novaki Petrovinski
,,,Orešje Okićko
,,,Paljugi
,,,Pavlovčani
,,,Pesak
,,,Petrovina
,,,Plešivica
,,,Prekrižje Plešivičko
,,,Prhoć
,,,Prilipje
,,,Prodin Dol
,,,Rastoki
,,,Redovje
,,,Slavetić
,,,Srednjak
,,,Stankovo
,,,Špigelski Breg
,,,Tihočaj
,,,Toplice
,,,Vlaškovec
,,,Volavje
,,,Vranov Dol
,,,Vukšin Šipak
,,,Zdihovo 
,Samobor,,Beder
,,,Bobovica
,,,Braslovje
,,,Bratelji
,,,Bregana
,,,Breganica
,,,Brezovac Žumberački
,,,Budinjak
,,,Bukovje Podvrško
,,,Celine Samoborske
,,,Cerje Samoborsko
,,,Cerovica
,,,Dane
,,,Dolec Podokićki
,,,Domaslovec
,,,Draganje Selo
,,,Dragonoš
,,,Drežnik Podokićki
,,,Dubrava Samoborska
,,,Falašćak
,,,Farkaševec Samoborski
,,,Galgovo
,,,Golubići
,,,Gornja Vas
,,,Gradna
,,,Grdanjci
,,,Gregurić Breg
,,,Hrastina Samoborska
,,,Jarušje
,,,Javorek
,,,Kladje
,,,Klake
,,,Klokočevec Samoborski
,,,Konšćica
,,,Kostanjevec Podvrški
,,,Kotari
,,,Kravljak
,,,Lug Samoborski
,,,Mala Jazbina
,,,Mala Rakovica
,,,Mali Lipovec
,,,Manja Vas
